Ente,IdVigneto,Codice,NomeVigneto,Infection,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16
9.0,1,RSSPG28,Pg - Casarsa,Oidium,30%,34%,20%,18%,14%,12%,29%
9.0,1,RSSPG28,Pg - Casarsa,Peronospora,70%,66%,80%,82%,86%,88%,71%
9.0,6,RSSPB27,Pg - Spessa,Oidium,27%,31%,18%,10%,19%,13%,29%
9.0,6,RSSPB27,Pg - Spessa,Peronospora,73%,69%,82%,90%,81%,87%,71%
40.0,158,CENMR01,Mer-Terrazze,Oidium,33%,34%,20%,13%,17%,19%,30%
40.0,158,CENMR01,Mer-Terrazze,Peronospora,67%,66%,80%,87%,83%,81%,70%
9.0,180,RSSPG18,Sau - Lungo Strada Sinistra 1,Oidium,34%,35%,22%,17%,15%,10%,31%
9.0,180,RSSPG18,Sau - Lungo Strada Sinistra 1,Peronospora,66%,65%,78%,83%,85%,90%,69%
9.0,246,RSSSV27,Sau - Municipio,Oidium,24%,39%,28%,16%,18%,12%,29%
9.0,246,RSSSV27,Sau - Municipio,Peronospora,76%,61%,72%,84%,82%,88%,71%
9.0,304,RSSSV27,Sau - Castello,Oidium,33%,36%,23%,19%,24%,14%,32%
9.0,304,RSSSV27,Sau - Castello,Peronospora,67%,64%,77%,81%,76%,86%,68%
9.0,323,RSSRIB04,Rib - Rudere,Oidium,36%,37%,24%,21%,24%,14%,32%
9.0,323,RSSRIB04,Rib - Rudere,Peronospora,64%,63%,76%,79%,76%,86%,68%
9.0,367,RSSFR26,Rib - Scuola,Oidium,38%,43%,28%,26%,24%,19%,27%
9.0,367,RSSFR26,Rib - Scuola,Peronospora,62%,57%,72%,74%,76%,81%,73%
15.0,392,RSSPB27,Pb - Casarsa,Oidium,42%,47%,27%,25%,26%,24%,25%
15.0,392,RSSPB27,Pb - Casarsa,Peronospora,58%,53%,73%,75%,74%,76%,75%
-1.0,505,BGTTC01,ToFr-Pradis,Oidium,29%,28%,23%,19%,21%,18%,32%
-1.0,505,BGTTC01,ToFr-Pradis,Peronospora,71%,72%,77%,81%,79%,82%,68%
15.0,535,VRSFR22,ToFr-Sant'Antonio,Oidium,38%,40%,32%,23%,23%,17%,29%
15.0,535,VRSFR22,ToFr-Sant'Antonio,Peronospora,62%,60%,68%,77%,77%,83%,71%
15.0,581,VRSMR04,Mer-Cipressi,Oidium,25%,40%,25%,16%,21%,20%,27%
15.0,581,VRSMR04,Mer-Cipressi,Peronospora,75%,60%,75%,84%,79%,80%,73%
15.0,677,VRSMR23,Rib - Palazzo,Oidium,23%,39%,24%,20%,20%,21%,27%
15.0,677,VRSMR23,Rib - Palazzo,Peronospora,77%,61%,76%,80%,80%,79%,73%
15.0,708,VRSMR24,Mer - Curva,Oidium,34%,42%,33%,21%,26%,23%,34%
15.0,708,VRSMR24,Mer - Curva,Peronospora,66%,58%,67%,79%,74%,77%,66%
15.0,735,VRSMR27,Sau - vicino Silvoz Mossa,Oidium,42%,41%,26%,21%,23%,29%,27%
15.0,735,VRSMR27,Sau - vicino Silvoz Mossa,Peronospora,58%,59%,74%,79%,77%,71%,73%
15.0,769,VRSMR28,Cha - Mossa,Oidium,25%,39%,28%,9%,20%,12%,27%
15.0,769,VRSMR28,Cha - Mossa,Peronospora,75%,61%,72%,91%,80%,88%,73%
15.0,789,VRSCHA04,Ch-Bino,Oidium,28%,40%,27%,16%,23%,16%,29%
15.0,789,VRSCHA04,Ch-Bino,Peronospora,72%,60%,73%,84%,77%,84%,71%
16.0,792,VRSSV20,Pn - Basso Piramide,Oidium,25%,39%,28%,9%,20%,12%,27%
16.0,792,VRSSV20,Pn - Basso Piramide,Peronospora,75%,61%,72%,91%,80%,88%,73%
16.0,827,VRSSV20,Sau - Basso Pighin,Oidium,32%,36%,25%,21%,19%,24%,33%
16.0,827,VRSSV20,Sau - Basso Pighin,Peronospora,68%,64%,75%,79%,81%,76%,67%
16.0,887,VRSPG20,Pg-VignaGrande,Oidium,26%,41%,24%,16%,19%,17%,27%
