Vigneto_IdVigneto,Codice,NomeVigneto,Infection,2025-07-03,2025-07-04,2025-07-05,2025-07-06,2025-07-07,2025-07-08,2025-07-09
1,RSSPG28,Pg - Casarsa,Oidium,19%,26%,40%,32%,22%,32%,33%
1,RSSPG28,Pg - Casarsa,Peronospora,81%,74%,60%,68%,78%,68%,67%
6,RSSPB27,Pg - Spessa,Oidium,18%,26%,38%,31%,18%,25%,28%
6,RSSPB27,Pg - Spessa,Peronospora,82%,74%,62%,69%,82%,75%,72%
158,CENMR01,Mer-Terrazze,Oidium,25%,29%,43%,32%,20%,30%,29%
158,CENMR01,Mer-Terrazze,Peronospora,75%,71%,57%,68%,80%,70%,71%
180,RSSPG18,Sau - Lungo Strada Sinistra 1,Oidium,27%,33%,40%,31%,19%,22%,31%
180,RSSPG18,Sau - Lungo Strada Sinistra 1,Peronospora,73%,67%,60%,69%,81%,78%,69%
246,RSSSV27,Sau - Municipio,Oidium,22%,31%,41%,32%,17%,24%,30%
246,RSSSV27,Sau - Municipio,Peronospora,78%,69%,59%,68%,83%,76%,70%
304,RSSSV27,Sau - Castello,Oidium,31%,33%,45%,39%,31%,35%,37%
304,RSSSV27,Sau - Castello,Peronospora,69%,67%,55%,61%,69%,65%,63%
323,RSSRIB04,Rib - Rudere,Oidium,32%,31%,45%,40%,32%,32%,34%
323,RSSRIB04,Rib - Rudere,Peronospora,68%,69%,55%,60%,68%,68%,66%
367,RSSFR26,Rib - Scuola,Oidium,11%,26%,31%,22%,20%,33%,32%
367,RSSFR26,Rib - Scuola,Peronospora,89%,74%,69%,78%,80%,67%,68%
392,RSSPB27,Pb - Casarsa,Oidium,12%,23%,25%,20%,14%,26%,34%
392,RSSPB27,Pb - Casarsa,Peronospora,88%,77%,75%,80%,86%,74%,66%
505,BGTTC01,ToFr-Pradis,Oidium,19%,30%,43%,31%,24%,32%,32%
505,BGTTC01,ToFr-Pradis,Peronospora,81%,70%,57%,69%,76%,68%,68%
535,VRSFR22,ToFr-Sant'Antonio,Oidium,18%,31%,36%,26%,25%,25%,40%
535,VRSFR22,ToFr-Sant'Antonio,Peronospora,82%,69%,64%,74%,75%,75%,60%
581,VRSMR04,Mer-Cipressi,Oidium,23%,31%,35%,25%,17%,28%,28%
581,VRSMR04,Mer-Cipressi,Peronospora,77%,69%,65%,75%,83%,72%,72%
677,VRSMR23,Rib - Palazzo,Oidium,22%,29%,36%,29%,20%,30%,29%
677,VRSMR23,Rib - Palazzo,Peronospora,78%,71%,64%,71%,80%,70%,71%
708,VRSMR24,Mer - Curva,Oidium,19%,25%,30%,20%,23%,27%,36%
708,VRSMR24,Mer - Curva,Peronospora,81%,75%,70%,80%,77%,73%,64%
735,VRSMR27,Sau - vicino Silvoz Mossa,Oidium,15%,22%,28%,23%,16%,27%,33%
735,VRSMR27,Sau - vicino Silvoz Mossa,Peronospora,85%,78%,72%,77%,84%,73%,67%
769,VRSMR28,Cha - Mossa,Oidium,20%,30%,38%,27%,21%,24%,31%
769,VRSMR28,Cha - Mossa,Peronospora,80%,70%,62%,73%,79%,76%,69%
789,VRSCHA04,Ch-Bino,Oidium,24%,30%,40%,30%,21%,28%,30%
789,VRSCHA04,Ch-Bino,Peronospora,76%,70%,60%,70%,79%,72%,70%
792,VRSSV20,Pn - Basso Piramide,Oidium,20%,30%,37%,27%,19%,24%,31%
792,VRSSV20,Pn - Basso Piramide,Peronospora,80%,70%,63%,73%,81%,76%,69%
827,VRSSV20,Sau - Basso Pighin,Oidium,23%,25%,27%,22%,14%,26%,28%
827,VRSSV20,Sau - Basso Pighin,Peronospora,77%,75%,73%,78%,86%,74%,72%
887,VRSPG20,Pg-VignaGrande,Oidium,20%,30%,38%,24%,16%,24%,29%
887,VRSPG20,Pg-VignaGrande,Peronospora,80%,70%,62%,76%,84%,76%,71%
906,VRSMR35,Mer - Sant'Antonio,Oidium,24%,24%,19%,23%,11%,27%,31%
906,VRSMR35,Mer - Sant'Antonio,Peronospora,76%,76%,81%,77%,89%,73%,69%
914,VRSPB20,Pb-Capriva,Oidium,24%,25%,36%,30%,17%,25%,27%
914,VRSPB20,Pb-Capriva,Peronospora,76%,75%,64%,70%,83%,75%,73%
934,VRSPG24,Pg-Pighin,Oidium,20%,26%,26%,30%,18%,33%,33%
934,VRSPG24,Pg-Pighin,Peronospora,80%,74%,74%,70%,82%,67%,67%
942,VRSPG27,Pg - Basso Pighin,Oidium,27%,29%,38%,37%,23%,29%,34%
942,VRSPG27,Pg - Basso Pighin,Peronospora,73%,71%,62%,63%,77%,71%,66%
1065,VRSSV36,Sau - Moretti Pighin ,Oidium,21%,26%,22%,24%,11%,27%,30%
1065,VRSSV36,Sau - Moretti Pighin ,Peronospora,79%,74%,78%,76%,89%,73%,70%
1135,VRSSV36,Sv-Pighin2,Oidium,21%,28%,47%,36%,21%,24%,27%
1135,VRSSV36,Sv-Pighin2,Peronospora,79%,72%,53%,64%,79%,76%,73%
1171,VRSPG29,Pg-Pighin1,Oidium,21%,30%,42%,29%,18%,21%,28%
1171,VRSPG29,Pg-Pighin1,Peronospora,79%,70%,58%,71%,82%,79%,72%
1200,BGTCH02,Ch- SanQuirino,Oidium,14%,21%,28%,20%,16%,25%,32%
1200,BGTCH02,Ch- SanQuirino,Peronospora,86%,79%,72%,80%,84%,75%,68%
1228,BGTVER01,Ver-SanQuirino,Oidium,40%,36%,32%,33%,35%,34%,29%
1228,BGTVER01,Ver-SanQuirino,Peronospora,60%,64%,68%,67%,65%,66%,71%
1308,BGTCSV01,Csv-SanQuirino,Oidium,46%,42%,34%,45%,44%,37%,32%
1308,BGTCSV01,Csv-SanQuirino,Peronospora,54%,58%,66%,55%,56%,63%,68%
1314,SFEPG01,Pg-Chiesa,Oidium,50%,48%,40%,45%,50%,44%,28%
1314,SFEPG01,Pg-Chiesa,Peronospora,50%,52%,60%,55%,50%,56%,72%
1328,SRECH01,Ch-Gorga,Oidium,40%,38%,36%,33%,37%,24%,30%
1328,SRECH01,Ch-Gorga,Peronospora,60%,62%,64%,67%,63%,76%,70%
1346,SFEMR01,Mer-Braida,Oidium,55%,53%,56%,56%,52%,53%,49%
1346,SFEMR01,Mer-Braida,Peronospora,45%,47%,44%,44%,48%,47%,51%
1353,SFEME02,Me-Braida,Oidium,47%,44%,40%,46%,46%,37%,28%
1353,SFEME02,Me-Braida,Peronospora,53%,56%,60%,54%,54%,63%,72%
1548,SFETC01,Sch-Potok,Oidium,26%,30%,36%,42%,48%,35%,40%
1548,SFETC01,Sch-Potok,Peronospora,74%,70%,64%,58%,52%,65%,60%
1594,SFECH04,Ch-mirnik,Oidium,27%,32%,39%,40%,46%,40%,43%
1594,SFECH04,Ch-mirnik,Peronospora,73%,68%,61%,60%,54%,60%,57%
1641,SFEMR02,Mer-Mirnik,Oidium,31%,33%,35%,46%,46%,37%,39%
1641,SFEMR02,Mer-Mirnik,Peronospora,69%,67%,65%,54%,54%,63%,61%
1702,SFECSV04,Csv-Giovanin,Oidium,27%,36%,47%,41%,45%,45%,45%
1702,SFECSV04,Csv-Giovanin,Peronospora,73%,64%,53%,59%,55%,55%,55%
1772,SFESV01,Sv-Giovanin,Oidium,22%,27%,36%,40%,49%,32%,41%
1772,SFESV01,Sv-Giovanin,Peronospora,78%,73%,64%,60%,51%,68%,59%
1789,SFEMAL01,Mal-Ronc,Oidium,26%,33%,43%,41%,50%,43%,46%
1789,SFEMAL01,Mal-Ronc,Peronospora,74%,67%,57%,59%,50%,57%,54%
1802,SFECH01,Ch-ronc,Oidium,25%,28%,35%,38%,46%,35%,40%
1802,SFECH01,Ch-ronc,Peronospora,75%,72%,65%,62%,54%,65%,60%
1856,SFERB05,RibG-ronc,Oidium,32%,35%,41%,44%,47%,43%,45%
1856,SFERB05,RibG-ronc,Peronospora,68%,65%,59%,56%,53%,57%,55%
1880,SFESCH01,Sch-Lidia,Oidium,22%,30%,38%,44%,48%,42%,44%
