Ente,IdVigneto,Codice,NomeVigneto,Infection,2025-07-21,2025-07-22,2025-07-23,2025-07-24,2025-07-25,2025-07-26,2025-07-27
9,1,RSSPG28,Pg - Casarsa,Oidium,34%,26%,22%,31%,39%,33%,35%
9,1,RSSPG28,Pg - Casarsa,Peronospora,66%,74%,78%,69%,61%,67%,65%
9,6,RSSPB27,Pg - Spessa,Oidium,31%,25%,23%,29%,37%,33%,38%
9,6,RSSPB27,Pg - Spessa,Peronospora,69%,75%,77%,71%,63%,67%,62%
40,158,CENMR01,Mer-Terrazze,Oidium,28%,24%,21%,28%,39%,35%,39%
40,158,CENMR01,Mer-Terrazze,Peronospora,72%,76%,79%,72%,61%,65%,61%
9,180,RSSPG18,Sau - Lungo Strada Sinistra 1,Oidium,26%,20%,20%,34%,42%,31%,43%
9,180,RSSPG18,Sau - Lungo Strada Sinistra 1,Peronospora,74%,80%,80%,66%,58%,69%,57%
9,246,RSSSV27,Sau - Municipio,Oidium,29%,24%,22%,31%,37%,31%,41%
9,246,RSSSV27,Sau - Municipio,Peronospora,71%,76%,78%,69%,63%,69%,59%
9,304,RSSSV27,Sau - Castello,Oidium,30%,27%,19%,29%,39%,38%,39%
9,304,RSSSV27,Sau - Castello,Peronospora,70%,73%,81%,71%,61%,62%,61%
9,323,RSSRIB04,Rib - Rudere,Oidium,31%,27%,19%,29%,39%,39%,39%
9,323,RSSRIB04,Rib - Rudere,Peronospora,69%,73%,81%,71%,61%,61%,61%
9,367,RSSFR26,Rib - Scuola,Oidium,30%,28%,26%,30%,41%,34%,37%
9,367,RSSFR26,Rib - Scuola,Peronospora,70%,72%,74%,70%,59%,66%,63%
15,392,RSSPB27,Pb - Casarsa,Oidium,25%,32%,24%,29%,35%,31%,35%
15,392,RSSPB27,Pb - Casarsa,Peronospora,75%,68%,76%,71%,65%,69%,65%
-1,505,BGTTC01,ToFr-Pradis,Oidium,22%,22%,24%,25%,34%,32%,33%
-1,505,BGTTC01,ToFr-Pradis,Peronospora,78%,78%,76%,75%,66%,68%,67%
15,535,VRSFR22,ToFr-Sant'Antonio,Oidium,21%,21%,15%,29%,36%,28%,35%
15,535,VRSFR22,ToFr-Sant'Antonio,Peronospora,79%,79%,85%,71%,64%,72%,65%
15,581,VRSMR04,Mer-Cipressi,Oidium,31%,25%,23%,37%,35%,29%,35%
15,581,VRSMR04,Mer-Cipressi,Peronospora,69%,75%,77%,63%,65%,71%,65%
15,677,VRSMR23,Rib - Palazzo,Oidium,31%,26%,23%,37%,35%,30%,35%
15,677,VRSMR23,Rib - Palazzo,Peronospora,69%,74%,77%,63%,65%,70%,65%
15,708,VRSMR24,Mer - Curva,Oidium,23%,18%,23%,32%,35%,32%,34%
15,708,VRSMR24,Mer - Curva,Peronospora,77%,82%,77%,68%,65%,68%,66%
15,735,VRSMR27,Sau - vicino Silvoz Mossa,Oidium,18%,20%,21%,34%,41%,24%,39%
15,735,VRSMR27,Sau - vicino Silvoz Mossa,Peronospora,82%,80%,79%,66%,59%,76%,61%
15,769,VRSMR28,Cha - Mossa,Oidium,28%,24%,23%,37%,35%,32%,41%
15,769,VRSMR28,Cha - Mossa,Peronospora,72%,76%,77%,63%,65%,68%,59%
15,789,VRSCHA04,Ch-Bino,Oidium,28%,26%,25%,39%,36%,32%,40%
15,789,VRSCHA04,Ch-Bino,Peronospora,72%,74%,75%,61%,64%,68%,60%
16,792,VRSSV20,Pn - Basso Piramide,Oidium,28%,24%,23%,37%,35%,32%,41%
16,792,VRSSV20,Pn - Basso Piramide,Peronospora,72%,76%,77%,63%,65%,68%,59%
16,827,VRSSV20,Sau - Basso Pighin,Oidium,30%,24%,20%,33%,32%,30%,34%
16,827,VRSSV20,Sau - Basso Pighin,Peronospora,70%,76%,80%,67%,68%,70%,66%
16,887,VRSPG20,Pg-VignaGrande,Oidium,27%,24%,25%,34%,38%,31%,39%
16,887,VRSPG20,Pg-VignaGrande,Peronospora,73%,76%,75%,66%,62%,69%,61%
16,906,VRSMR35,Mer - Sant'Antonio,Oidium,32%,24%,22%,27%,34%,29%,35%
16,906,VRSMR35,Mer - Sant'Antonio,Peronospora,68%,76%,78%,73%,66%,71%,65%
16,914,VRSPB20,Pb-Capriva,Oidium,28%,22%,23%,28%,34%,28%,36%
16,914,VRSPB20,Pb-Capriva,Peronospora,72%,78%,77%,72%,66%,72%,64%
16,934,VRSPG24,Pg-Pighin,Oidium,31%,24%,25%,35%,34%,26%,34%
16,934,VRSPG24,Pg-Pighin,Peronospora,69%,76%,75%,65%,66%,74%,66%
17,942,VRSPG27,Pg - Basso Pighin,Oidium,34%,25%,26%,34%,41%,30%,38%
17,942,VRSPG27,Pg - Basso Pighin,Peronospora,66%,75%,74%,66%,59%,70%,62%
18,1065,VRSSV36,Sau - Moretti Pighin ,Oidium,31%,24%,21%,27%,34%,29%,35%
18,1065,VRSSV36,Sau - Moretti Pighin ,Peronospora,69%,76%,79%,73%,66%,71%,65%
18,1135,VRSSV36,Sv-Pighin2,Oidium,33%,23%,23%,38%,39%,32%,44%
18,1135,VRSSV36,Sv-Pighin2,Peronospora,67%,77%,77%,62%,61%,68%,56%
20,1171,VRSPG29,Pg-Pighin1,Oidium,31%,22%,24%,37%,36%,31%,43%
20,1171,VRSPG29,Pg-Pighin1,Peronospora,69%,78%,76%,63%,64%,69%,57%
20,1200,BGTCH02,Ch- SanQuirino,Oidium,27%,24%,28%,31%,34%,32%,28%
20,1200,BGTCH02,Ch- SanQuirino,Peronospora,73%,76%,72%,69%,66%,68%,72%
21,1228,BGTVER01,Ver-SanQuirino,Oidium,39%,36%,44%,31%,45%,35%,32%
21,1228,BGTVER01,Ver-SanQuirino,Peronospora,61%,64%,56%,69%,55%,65%,68%
21,1308,BGTCSV01,Csv-SanQuirino,Oidium,33%,34%,37%,31%,34%,31%,35%
21,1308,BGTCSV01,Csv-SanQuirino,Peronospora,67%,66%,63%,69%,66%,69%,65%
21,1314,SFEPG01,Pg-Chiesa,Oidium,42%,41%,41%,39%,40%,31%,39%
21,1314,SFEPG01,Pg-Chiesa,Peronospora,58%,59%,59%,61%,60%,69%,61%
-1,1328,SRECH01,Ch-Gorga,Oidium,26%,16%,33%,23%,36%,28%,32%
-1,1328,SRECH01,Ch-Gorga,Peronospora,74%,84%,67%,77%,64%,72%,68%
21,1346,SFEMR01,Mer-Braida,Oidium,36%,43%,52%,45%,45%,41%,43%
21,1346,SFEMR01,Mer-Braida,Peronospora,64%,57%,48%,55%,55%,59%,57%
21,1353,SFEME02,Me-Braida,Oidium,40%,32%,34%,34%,40%,37%,35%
21,1353,SFEME02,Me-Braida,Peronospora,60%,68%,66%,66%,60%,63%,65%
21,1548,SFETC01,Sch-Potok,Oidium,30%,27%,28%,28%,26%,31%,32%
21,1548,SFETC01,Sch-Potok,Peronospora,70%,73%,72%,72%,74%,69%,68%
21,1594,SFECH04,Ch-mirnik,Oidium,28%,32%,25%,35%,36%,41%,33%
21,1594,SFECH04,Ch-mirnik,Peronospora,72%,68%,75%,65%,64%,59%,67%
24,1641,SFEMR02,Mer-Mirnik,Oidium,34%,33%,35%,39%,34%,35%,36%
24,1641,SFEMR02,Mer-Mirnik,Peronospora,66%,67%,65%,61%,66%,65%,64%
24,1702,SFECSV04,Csv-Giovanin,Oidium,29%,34%,28%,35%,29%,41%,40%
24,1702,SFECSV04,Csv-Giovanin,Peronospora,71%,66%,72%,65%,71%,59%,60%
24,1772,SFESV01,Sv-Giovanin,Oidium,29%,26%,29%,28%,25%,39%,36%
24,1772,SFESV01,Sv-Giovanin,Peronospora,71%,74%,71%,72%,75%,61%,64%
24,1789,SFEMAL01,Mal-Ronc,Oidium,33%,31%,27%,36%,29%,45%,39%
24,1789,SFEMAL01,Mal-Ronc,Peronospora,67%,69%,73%,64%,71%,55%,61%
24,1802,SFECH01,Ch-ronc,Oidium,31%,28%,28%,27%,24%,32%,36%
24,1802,SFECH01,Ch-ronc,Peronospora,69%,72%,72%,73%,76%,68%,64%
24,1856,SFERB05,RibG-ronc,Oidium,29%,32%,26%,38%,38%,43%,40%
24,1856,SFERB05,RibG-ronc,Peronospora,71%,68%,74%,62%,62%,57%,60%
24,1880,SFESCH01,Sch-Lidia,Oidium,31%,30%,29%,32%,29%,38%,29%
24,1880,SFESCH01,Sch-Lidia,Peronospora,69%,70%,71%,68%,71%,62%,71%
24,2048,SFECAR01,Car-Lidia,Oidium,28%,24%,25%,29%,35%,33%,39%
24,2048,SFECAR01,Car-Lidia,Peronospora,72%,76%,75%,71%,65%,67%,61%
24,2063,SFECSV02,Csv-Lidia,Oidium,32%,23%,20%,28%,39%,35%,32%
